cellnames,ttype
20180712_sample_11,Pvalb
20180712_sample_12,Pvalb
20180712_sample_13,IT
20180712_sample_14,Pvalb
20180712_sample_15,Pvalb
20180717_sample_1,Pvalb
20180717_sample_2,Lamp5
20180717_sample_3,Pvalb
20180717_sample_4,Pvalb
20180717_sample_6,Pvalb
20180717_sample_7,ET
20180718_sample_2,Pvalb
20180718_sample_3,Pvalb
20180718_sample_4,Pvalb
20180719_sample_1,Pvalb
20180719_sample_4,Pvalb
20180720_sample_2,Sncg
20180720_sample_3,Pvalb
20180720_sample_5,Lamp5
20180725_sample_3,IT
20180725_sample_6,Pvalb
20180725_sample_7,IT
20180725_sample_9,Lamp5
20180726_sample_3,Pvalb
20180726_sample_4,Pvalb
20180726_sample_5,Pvalb
20180726_sample_6,Pvalb
20180726_sample_7,Pvalb
20180817_sample_2,Pvalb
20180817_sample_3,Pvalb
20180817_sample_4,Pvalb
20180817_sample_5,Pvalb
20180817_sample_6,IT
20180817_sample_7,Pvalb
20180820_sample_1,Sst
20180820_sample_2,IT
20180820_sample_3,Sst
20180820_sample_4,Sst
20180820_sample_5,Sst
20180820_sample_6,IT
20180820_sample_7,Sst
20180822_sample_1,Pvalb
20180822_sample_2,Pvalb
20180822_sample_3,Pvalb
20180822_sample_4,Pvalb
20180822_sample_6,Pvalb
20180822_sample_7,Pvalb
20180828_sample_2,Pvalb
20180828_sample_3,Pvalb
20180828_sample_4,IT
20180828_sample_5,Pvalb
20180828_sample_6,Pvalb
20180828_sample_8,IT
20180829_sample_1,Sst
20180829_sample_2,Sst
20180829_sample_3,Sst
20180829_sample_4,Sst
20180829_sample_5,Sst
20180829_sample_6,Sst
20180829_sample_7,Sst
20180829_sample_8,IT
20180830_sample_1,Pvalb
20180830_sample_2,Pvalb
20180830_sample_5,Pvalb
20180830_sample_6,Pvalb
20180904_sample_1,Pvalb
20180904_sample_2,Pvalb
20180904_sample_3,Pvalb
20180904_sample_4,Pvalb
20180904_sample_5,Pvalb
20180904_sample_6,Pvalb
20180904_sample_7,Pvalb
20180904_sample_9,Pvalb
20180905_sample_1,Sst
20180905_sample_2,Sst
20180910_sample_2,Sst
20180910_sample_3,Sst
20180911_sample_1,Sst
20180911_sample_2,Sst
20180911_sample_3,Sst
20180911_sample_5,Sst
20180911_sample_6,Sst
20180912_sample_2,Pvalb
20180912_sample_3,Pvalb
20180912_sample_6,Pvalb
20180917_sample_1,Sst
20180917_sample_2,Pvalb
20180917_sample_3,IT
20180917_sample_4,Pvalb
20180917_sample_5,Sst
20180918_sample_1,Vip
20180918_sample_2,Vip
20180918_sample_3,Vip
20180920_sample_2,Pvalb
20180920_sample_3,Pvalb
20180920_sample_4,Pvalb
20180921_sample_2,Pvalb
20180921_sample_3,Pvalb
20180925_sample_9,Pvalb
20180926_sample_1,Pvalb
20180926_sample_3,Pvalb
20180926_sample_7,Pvalb
20180926_sample_9,IT
20180927_sample_1,Pvalb
20180927_sample_2,Pvalb
20180927_sample_4,Pvalb
20180927_sample_5,Pvalb
20180927_sample_7,Pvalb
20180927_sample_9,IT
20181002_sample_2,Pvalb
20181002_sample_3,Pvalb
20181002_sample_4,Pvalb
20181002_sample_5,Pvalb
20181002_sample_6,Pvalb
20181002_sample_7,IT
20181002_sample_8,Pvalb
20181002_sample_9,Sst
20181002_sample_10,Pvalb
20181003_sample_2,Sst
20181003_sample_3,Sst
20181003_sample_4,Sst
20181003_sample_5,Sst
20181003_sample_6,Sst
20181003_sample_7,Sst
20181003_sample_8,Sst
20181003_sample_9,Sst
20181003_sample_10,Sst
20181004_sample_3,Sst
20181004_sample_5,Sst
20181004_sample_6,Sst
20181004_sample_8,Sst
20181009_sample_2,Sst
20181009_sample_3,Sst
20181009_sample_4,Sst
20181009_sample_5,Sst
20181009_sample_6,IT
20181009_sample_7,Sst
20181010_sample_1,Sst
20181010_sample_3,Sst
20181010_sample_4,Sst
20181010_sample_5,IT
20181010_sample_6,Sst
20181010_sample_8,Sst
20181010_sample_10,Sst
20181011_sample_3,Sst
20181011_sample_4,Sst
20181011_sample_8,Sst
20181011_sample_9,Sst
20181011_sample_10,Sst
20181109_sample_1,Sst
20181109_sample_2,Sst
20181109_sample_3,Sst
20181109_sample_5,Sst
20181109_sample_7,Sst
20181109_sample_8,Sst
20181109_sample_9,Sst
20181109_sample_10,Sst
20181112_sample_4,Sst
20181112_sample_6,Sst
20181112_sample_8,Sst
20181112_sample_11,Sst
20181114_sample_1,Pvalb
20181114_sample_2,Pvalb
20181114_sample_4,Pvalb
20181116_sample_2,Pvalb
20181116_sample_3,Pvalb
20181116_sample_4,Pvalb
20181116_sample_5,Pvalb
20181116_sample_12,Pvalb
20181121_sample_1,Sst
20181121_sample_2,Sst
20181121_sample_3,Pvalb
20181121_sample_5,Sst
20181121_sample_6,Sst
20181121_sample_7,Sst
20181126_sample_2,Sst
20181126_sample_6,Sst
20181127_sample_1,Sst
20181127_sample_3,Sst
20181127_sample_4,Sst
20181127_sample_5,Sst
20181127_sample_7,Sst
20181129_sample_1,Sst
20181129_sample_3,Sst
20181129_sample_4,Sst
20181129_sample_5,Sst
20181129_sample_6,Sst
20181203_sample_2,Sst
20181203_sample_3,Sst
20181203_sample_4,Sst
20181203_sample_5,Sst
20181203_sample_6,Pvalb
20181203_sample_7,Sst
20181203_sample_8,Sst
20181203_sample_9,Sst
20181205_sample_1,Sst
20181205_sample_2,Sst
20181207_sample_1,Pvalb
20181207_sample_2,Pvalb
20181207_sample_3,Pvalb
20181207_sample_4,Pvalb
20181207_sample_5,Pvalb
20181207_sample_7,Pvalb
20181208_sample_2,Sst
20181208_sample_3,Sst
20181208_sample_4,Sst
20181208_sample_5,Sst
20181208_sample_6,Sst
20181208_sample_7,Sst
20181208_sample_8,Sst
20181208_sample_9,Sst
20181208_sample_10,Sst
20181211_sample_1,CT
20181211_sample_2,Pvalb
20181211_sample_4,Pvalb
20181211_sample_6,Pvalb
20181211_sample_7,Pvalb
20181211_sample_8,Pvalb
20181211_sample_9,Pvalb
20181213_sample_1,Sst
20181213_sample_3,Sst
20181213_sample_4,Sst
20181213_sample_5,IT
20181213_sample_6,Sst
20181213_sample_7,Sst
20181214_sample_2,Sst
20190108_sample_1,Pvalb
20190108_sample_2,Vip
20190108_sample_3,IT
20190108_sample_5,Vip
20190108_sample_6,Lamp5
20190109_sample_2,Sst
20190110_sample_1,Sst
20190110_sample_3,Sst
20190110_sample_4,Sst
20190110_sample_6,IT
20190110_sample_7,IT
20190117_sample_1,Vip
20190117_sample_2,IT
20190117_sample_3,Sst
20190117_sample_4,IT
20190117_sample_5,Sst
20190122_sample_1,Pvalb
20190122_sample_3,Pvalb
20190122_sample_5,Pvalb
20190122_sample_9,Pvalb
20190122_sample_10,Pvalb
20190122_sample_12,Pvalb
20190122_sample_13,Pvalb
20190122_sample_14,Pvalb
20190122_sample_16,Pvalb
20190122_sample_17,Pvalb
20190123_sample_5,Pvalb
20190123_sample_7,Pvalb
20190123_sample_8,Pvalb
20190124_sample_4,Pvalb
20190128_sample_2,Pvalb
20190128_sample_4,Pvalb
20190128_sample_6,Lamp5
20190128_sample_7,Pvalb
20190128_sample_11,Pvalb
20190128_sample_12,Pvalb
20190130_sample_3,Lamp5
20190130_sample_6,Pvalb
20190130_sample_8,CT
20190130_sample_9,Sst
20190130_sample_10,Sst
20190130_sample_15,Pvalb
20190130_sample_17,Sst
20190130_sample_18,Sst
20190131_sample_1,Sst
20190131_sample_3,Pvalb
20190131_sample_4,Sst
20190131_sample_5,Sst
20190131_sample_6,Sst
