cellnames,ttype
20190731_sample_2,Lamp5
20190731_sample_4,Vip
20190731_sample_5,Pvalb
20190731_sample_8,Pvalb
20190801_sample_1,IT
20190801_sample_2,Sst
20190801_sample_3,Sst
20190801_sample_4,Sst
20190801_sample_7,Sst
20190820_sample_1,Sst
20190820_sample_2,CT
20190820_sample_3,Pvalb
20190820_sample_5,Sst
20190820_sample_6,CT
20190821_sample_1,IT
20190821_sample_2,IT
20190821_sample_3,CT
20190821_sample_4,IT
20190821_sample_5,IT
20190821_sample_6,IT
20190821_sample_7,IT
20190823_sample_1,IT
20190823_sample_3,Pvalb
20190823_sample_6,IT
20190823_sample_7,IT
20190827_sample_1,Sst
20190827_sample_3,Sst
20190827_sample_4,Sst
20190827_sample_5,CT
20190827_sample_6,Sst
20190827_sample_7,Pvalb
20190827_sample_8,Sst
20190827_sample_9,Sst
20190828_sample_1,Vip
20190828_sample_3,Vip
20190828_sample_4,Vip
20190828_sample_5,Vip
20190828_sample_6,Vip
20190828_sample_7,Vip
20190829_sample_2,Lamp5
20190829_sample_3,IT
20190829_sample_4,Lamp5
20190829_sample_6,Lamp5
20190829_sample_9,Pvalb
20190830_sample_1,IT
20190830_sample_2,IT
20190830_sample_6,IT
20190830_sample_8,IT
20190830_sample_9,NP
20190904_sample_2,Vip
20190904_sample_3,Vip
20190904_sample_4,Vip
20190904_sample_5,Vip
20190904_sample_7,Vip
20190905_sample_3,Sst
20190906_sample_1,Lamp5
20190906_sample_5,CT
20190906_sample_6,Lamp5
20190910_sample_1,Lamp5
20190910_sample_2,Vip
20190910_sample_3,Vip
20190910_sample_4,Vip
20190910_sample_6,Vip
20190911_sample_3,NP
20190911_sample_4,IT
20190911_sample_9,CT
20190912_sample_1,CT
20190912_sample_2,CT
20190912_sample_3,CT
20190912_sample_4,Lamp5
20190912_sample_6,NP
20190912_sample_8,CT
20190912_sample_10,Pvalb
20190917_sample_1,CT
20190917_sample_2,Lamp5
20190917_sample_3,IT
20190919_sample_4,Lamp5
20190919_sample_5,CT
20190924_sample_1,Sst
20190924_sample_2,Sst
20190924_sample_3,IT
20190924_sample_4,Sst
20190924_sample_5,Sst
20190924_sample_6,Sst
20190924_sample_7,Pvalb
20190924_sample_8,CT
20190925_sample_2,Pvalb
20190925_sample_3,Sst
20190925_sample_4,CT
20190925_sample_5,Sst
20190925_sample_6,Pvalb
20190925_sample_7,Sst
20190926_sample_2,ET
20190926_sample_3,Sst
20190926_sample_4,ET
20190926_sample_5,Pvalb
20190926_sample_6,Sst
20190927_sample_1,IT
20190927_sample_2,CT
20190927_sample_3,Pvalb
20190927_sample_4,IT
20190927_sample_5,Pvalb
20190927_sample_6,Vip
20190927_sample_7,CT
20191001_sample_1,Sst
20191001_sample_3,Sst
20191001_sample_4,Pvalb
20191001_sample_5,Sst
20191001_sample_6,Sst
20191003_sample_3,Sst
20191003_sample_4,Sst
20191003_sample_5,Sst
20191003_sample_6,CT
20191010_sample_1,IT
20191010_sample_2,Sst
20191010_sample_3,IT
20191010_sample_4,Pvalb
20191010_sample_6,Pvalb
20191010_sample_7,ET
20191028_sample_1,Sst
20191028_sample_2,Sst
20191028_sample_3,Pvalb
20191030_sample_2,Sst
20191030_sample_3,ET
20191030_sample_4,NP
20191030_sample_5,Sst
20191101_sample_1,Lamp5
20191101_sample_2,CT
20191101_sample_3,Lamp5
20191101_sample_4,CT
20191101_sample_5,CT
20191101_sample_6,CT
20191104_sample_1,Sst
20191104_sample_2,Lamp5
20191104_sample_4,Pvalb
20191105_sample_1,Pvalb
20191105_sample_2,IT
20191105_sample_3,Sst
20191105_sample_4,Pvalb
20191105_sample_5,Sst
20191106_sample_2,Lamp5
20191106_sample_3,IT
20191106_sample_5,Lamp5
20191107_sample_2,Sst
20191107_sample_3,Sst
20191107_sample_4,Sst
20191108_sample_1,CT
20191108_sample_4,CT
20191108_sample_5,IT
20191114_sample_1,Lamp5
20191114_sample_2,CT
20191114_sample_3,IT
20191114_sample_4,Sst
20191114_sample_7,IT
20191114_sample_8,IT
20191114_sample_9,ET
20200106_sample_1,Lamp5
20200106_sample_5,IT
20200106_sample_6,IT
20200225_sample_2,IT
20200225_sample_5,Sncg
20200316_sample_1,ET
20200316_sample_3,Pvalb
